id,name,geoname,value,datetime
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.14,
600,Mercado SPOT,España,64.39,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,63.9,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,59.9,
600,Mercado SPOT,España,61.99,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62.14,
600,Mercado SPOT,España,62,
600,Mercado SPOT,España,60,
600,Mercado SPOT,España,57.5,
600,Mercado SPOT,España,52.37,
600,Mercado SPOT,España,51.77,
600,Mercado SPOT,España,51.61,
600,Mercado SPOT,España,57.55,
600,Mercado SPOT,España,61.35,
600,Mercado SPOT,España,65.67,
600,Mercado SPOT,España,67.75,
600,Mercado SPOT,España,66.01,
600,Mercado SPOT,España,65.57,2018-08-12T00:00:00+02:00
600,Mercado SPOT,España,64.14,2018-08-12T01:00:00+02:00
600,Mercado SPOT,España,64.14,2018-08-12T02:00:00+02:00
600,Mercado SPOT,España,64.39,2018-08-12T03:00:00+02:00
600,Mercado SPOT,España,63.9,2018-08-12T04:00:00+02:00
600,Mercado SPOT,España,63.9,2018-08-12T05:00:00+02:00
600,Mercado SPOT,España,63.9,2018-08-12T06:00:00+02:00
600,Mercado SPOT,España,62.14,2018-08-12T07:00:00+02:00
600,Mercado SPOT,España,59.9,2018-08-12T08:00:00+02:00
600,Mercado SPOT,España,61.99,2018-08-12T09:00:00+02:00
600,Mercado SPOT,España,60,2018-08-12T10:00:00+02:00
600,Mercado SPOT,España,62.14,2018-08-12T11:00:00+02:00
600,Mercado SPOT,España,62.14,2018-08-12T12:00:00+02:00
600,Mercado SPOT,España,62,2018-08-12T13:00:00+02:00
600,Mercado SPOT,España,60,2018-08-12T14:00:00+02:00
600,Mercado SPOT,España,57.5,2018-08-12T15:00:00+02:00
600,Mercado SPOT,España,52.37,2018-08-12T16:00:00+02:00
600,Mercado SPOT,España,51.77,2018-08-12T17:00:00+02:00
600,Mercado SPOT,España,51.61,2018-08-12T18:00:00+02:00
600,Mercado SPOT,España,57.55,2018-08-12T19:00:00+02:00
600,Mercado SPOT,España,61.35,2018-08-12T20:00:00+02:00
600,Mercado SPOT,España,65.67,2018-08-12T21:00:00+02:00
600,Mercado SPOT,España,67.75,2018-08-12T22:00:00+02:00
600,Mercado SPOT,España,66.01,2018-08-12T23:00:00+02:00
